well_id,well_type,Log_Date_Time,FTHP,CHP,ABP,FLT,Battery_Voltage
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:17:40,61.15,64.07,49.58,31.23,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:18:31,60.92,63.86,49.34,30.29,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:19:15,61.2,65.22,49.61,29.02,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:20:50,62.02,65.63,48.99,29.62,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:21:42,61.93,65.85,49.22,29.5,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:22:25,62.16,63.92,49.65,30.02,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:23:17,61.93,64.78,49.09,30.11,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:24:01,61.73,67.41,48.94,30.7,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:25:36,61.68,64.89,49.7,30.25,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:26:28,61.63,65.09,49.52,29.04,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:27:12,60.85,65.91,49.33,30.42,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:28:47,60.43,64.17,49.32,30.15,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:29:39,60.65,64.93,49.12,29.46,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:30:21,61.67,64.74,50.12,29.33,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:31:57,60.63,66.53,49.58,30.11,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:32:49,61.6,66.84,49.03,30.2,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:33:33,61.4,64.46,48.8,31.11,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:34:26,61.26,64.71,49.74,30.99,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:35:08,60.97,63.6,50.04,29.23,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:36:33,61.53,66.4,49.6,30.6,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:37:37,61.32,65.32,49.74,30.39,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:38:20,61.48,65.11,49.89,30.26,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:39:56,61.8,65.67,49.03,30.84,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:40:48,61.47,65.85,49.95,30.76,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:41:31,61.65,64.21,49.76,29.1,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:42:23,61.75,64.48,49.95,29.18,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:43:07,61.65,65.52,48.99,29.54,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:44:42,61.03,64.0,49.4,29.22,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:45:34,61.72,64.63,49.52,29.08,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:46:17,61.31,64.39,49.36,29.36,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:47:53,61.98,62.68,49.01,30.14,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:48:44,61.81,62.95,49.52,30.2,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:49:28,60.42,66.94,49.34,30.09,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:50:20,60.16,66.23,49.89,30.2,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:51:04,60.5,66.54,49.72,30.26,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:52:39,60.82,65.86,49.58,30.6,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:53:30,60.65,63.1,49.83,29.78,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:54:14,60.28,62.55,49.58,29.21,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:55:49,61.94,66.92,49.49,29.69,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:56:41,60.22,67.15,49.7,29.92,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:57:25,61.86,65.01,49.77,30.03,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:58:17,61.69,65.24,49.06,30.57,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 04:59:00,60.83,64.95,49.65,30.67,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:00:36,60.86,62.88,49.33,29.16,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:01:27,60.65,65.47,49.64,29.08,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:02:11,60.68,66.22,49.2,29.27,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:03:45,60.1,65.77,48.96,29.07,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:04:38,60.34,66.0,49.86,29.64,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:05:22,60.08,65.77,50.04,29.54,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:06:57,60.03,65.5,50.0,29.35,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:07:49,60.22,65.24,49.34,28.99,12.02
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:08:33,59.92,64.23,49.2,29.33,12.02
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:09:24,60.22,64.71,48.97,29.22,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:10:08,60.53,63.47,48.76,30.84,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:11:42,61.5,64.62,49.58,30.07,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:12:35,61.69,64.86,49.34,30.99,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:13:19,61.92,63.02,49.56,30.88,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:14:54,60.16,64.94,49.32,31.27,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:15:46,60.5,64.63,49.46,29.6,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:16:30,60.97,64.63,49.67,29.98,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:17:21,61.14,66.0,49.03,29.83,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:18:05,60.72,65.69,48.9,30.0,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:19:39,60.74,63.22,49.47,31.03,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:20:32,61.02,63.02,49.4,29.36,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:21:16,60.29,65.4,49.57,29.47,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:22:51,60.9,64.45,50.13,29.38,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:23:43,61.08,64.4,49.95,30.43,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:24:26,61.38,65.94,48.95,30.32,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:25:18,61.2,62.72,49.09,29.08,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:26:02,61.2,62.53,49.74,29.22,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:27:37,59.95,64.04,49.48,31.1,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:28:29,60.13,66.46,49.25,30.99,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:29:11,61.28,66.51,49.32,30.81,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:30:48,61.22,65.5,49.87,29.77,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:31:39,61.38,64.32,49.4,29.69,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:32:23,60.34,64.21,49.37,30.4,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:33:58,60.51,63.28,49.17,30.1,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:34:50,60.71,63.56,49.15,29.41,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:35:34,61.78,63.3,48.77,29.52,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:36:25,61.5,66.62,49.34,29.41,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:37:09,60.26,66.38,49.44,31.03,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:38:44,60.18,67.29,49.75,29.92,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:39:36,60.71,67.0,49.37,29.83,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:40:19,60.56,65.32,49.47,30.52,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:41:54,59.91,63.21,48.93,30.26,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:42:47,60.53,64.25,49.12,30.39,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:43:30,60.32,64.48,49.69,30.26,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:44:22,60.25,64.25,49.83,29.83,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:45:06,60.5,63.22,49.69,30.16,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:46:41,61.57,64.49,49.64,29.41,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:47:33,61.6,64.71,49.4,31.13,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:48:16,59.83,65.93,49.42,30.68,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:49:52,60.22,66.59,49.22,30.66,12.04
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:50:43,61.44,66.39,49.06,31.18,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:51:26,60.72,63.16,49.59,29.39,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:52:19,60.89,65.85,49.77,30.29,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:53:03,60.63,66.15,49.95,30.17,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:54:38,60.58,64.83,50.21,30.94,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:55:29,61.63,66.77,50.44,30.8,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:56:13,60.48,66.47,49.58,30.37,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:57:48,60.12,63.21,49.08,30.79,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:58:40,60.4,67.15,49.09,30.71,12.08
080b67fc-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 05:59:23,60.51,66.77,49.86,30.89,12.08
08134984-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:40:00,38.35,1.12,7.63,23.27,10.55
08134984-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:41:35,36.96,1.13,6.63,22.99,10.55
08134984-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:42:15,38.12,1.12,6.6,23.2,10.55
08134984-5be8-11f0-8aff-f91c9dc0ec5c,Self flow,2026-02-12 02:43:10,37.47,1.05,6.95,24.34,10.55
